45,Canisius,33,14,19,0.424,-5.62,-3.77,8,12,7,7,4,11,2526,2587,1355,845,2014,0.42,285,836,0.341,551,744,0.741,393,1116,466,199,88,368,640,,68.8,108.3,0.369,0.415,0.5329999999999999,47.6,55.1,8.5,7.6,0.49,13.5,31.0,0.27399999999999997,,68.8,110.9,0.39,0.384,0.583,52.4,59.0,7.5,9.7,0.5489999999999999,17.0,32.8,0.28300000000000003,
46,Central Arkansas,28,7,21,0.25,-15.17,-6.81,6,12,4,6,2,14,2110,2344,1120,734,1656,0.44299999999999995,185,497,0.37200000000000005,457,694,0.659,331,1044,370,152,104,405,575,,73.7,102.2,0.419,0.3,0.531,50.4,50.4,7.4,9.4,0.499,16.9,31.3,0.276,,73.7,113.6,0.387,0.35700000000000004,0.573,49.6,54.6,9.5,9.8,0.5379999999999999,13.7,29.8,0.27899999999999997,
47,Central Connecticut State,29,4,25,0.138,-22.35,-9.24,3,15,3,11,1,14,1888,2268,1175,682,1704,0.4,164,480,0.342,360,530,0.679,336,1046,341,127,107,402,505,,68.8,93.4,0.311,0.282,0.483,48.8,50.0,6.3,9.0,0.44799999999999995,17.1,29.9,0.21100000000000002,,68.8,112.2,0.305,0.327,0.5579999999999999,51.2,52.7,10.1,9.3,0.534,12.8,30.3,0.21100000000000002,
48,Central Florida,30,12,18,0.4,0.18,3.01,6,12,8,8,4,9,2062,2147,1210,715,1663,0.43,207,650,0.318,425,619,0.687,329,1166,379,137,139,440,467,,68.3,99.8,0.37200000000000005,0.391,0.527,51.7,53.0,6.6,11.1,0.49200000000000005,18.4,31.3,0.256,,68.3,103.9,0.25,0.349,0.498,48.3,55.1,10.8,9.1,0.47100000000000003,11.4,30.5,0.172,
49,Central Michigan,33,17,16,0.515,-0.67,-1.3,10,8,13,4,4,8,2495,2401,1325,867,1964,0.441,324,917,0.353,437,608,0.7190000000000001,324,1152,441,155,90,303,608,,67.4,111.8,0.31,0.467,0.5539999999999999,48.3,50.9,6.9,7.1,0.524,11.9,27.2,0.223,,67.4,107.6,0.33299999999999996,0.34299999999999997,0.535,51.7,48.5,6.3,7.8,0.504,13.7,30.7,0.231,
50,Charleston Southern,30,9,21,0.3,-10.92,-2.59,5,13,6,8,3,12,2146,2253,1210,774,1808,0.428,280,810,0.34600000000000003,318,512,0.621,308,1053,379,153,63,378,576,,70.0,101.4,0.28300000000000003,0.44799999999999995,0.523,48.9,49.0,7.2,6.0,0.506,15.6,27.0,0.17600000000000002,,70.0,106.4,0.365,0.385,0.562,51.1,52.4,8.2,11.8,0.529,15.8,26.4,0.261,
51,Charlotte,33,14,19,0.424,-3.14,-1.72,9,9,8,7,5,8,2584,2631,1340,920,2066,0.445,266,696,0.382,478,685,0.698,370,1196,481,204,73,394,588,,72.1,107.0,0.332,0.337,0.54,49.9,52.3,8.4,5.5,0.51,14.1,29.5,0.231,,72.1,108.9,0.309,0.337,0.575,50.1,45.6,7.8,8.5,0.5479999999999999,16.2,27.5,0.223,
52,Chattanooga,35,29,6,0.8290000000000001,3.24,-3.46,15,3,13,1,10,4,2652,2364,1410,897,1963,0.457,262,729,0.359,596,811,0.735,378,1241,504,272,165,437,596,,68.1,110.5,0.413,0.371,0.565,52.3,56.2,11.3,13.1,0.524,15.7,32.4,0.304,,68.1,98.5,0.297,0.361,0.527,47.7,51.0,9.4,10.7,0.5,18.0,28.5,0.20199999999999999,
53,Chicago State,32,4,28,0.125,-17.52,-1.38,0,14,4,9,0,15,2140,2478,1280,764,1995,0.38299999999999995,228,750,0.304,384,573,0.67,413,1172,375,246,98,456,697,,72.0,92.9,0.287,0.376,0.47200000000000003,47.7,49.1,10.7,9.3,0.44,16.7,31.0,0.192,,72.0,107.6,0.43200000000000005,0.419,0.565,52.3,66.8,9.3,10.7,0.5329999999999999,17.6,32.5,0.294,
54,Cincinnati,33,22,11,0.667,15.19,5.25,12,6,14,3,6,6,2418,2090,1355,851,1980,0.43,252,725,0.348,464,658,0.705,435,1291,508,257,192,362,513,,65.6,108.8,0.332,0.366,0.527,53.2,59.7,11.6,15.5,0.493,13.6,36.3,0.23399999999999999,,65.6,94.1,0.27,0.35200000000000004,0.486,46.8,50.7,7.6,8.7,0.456,17.2,30.3,0.184,
